DATA	MOTORISTA	CLIENTE	DESTINO	PEDIDO	NOTA FISCAL	REMESSA	PALETIZADA	QTD PALETES	SACO	BOMBONA	BALDE	TAMBOR	PESO LIQ	PESO BR	 VALOR NF 	MÊS	REGIÃO	ESTADO	PLACA	 CTE R$ 	CAMINHÃO
07/01/2025	POUPETEMPO TRANSPORTES	MEZZANI ALIMENTOS LTDA MEZZANI ALIMENTOS LTDA (3129)	D2 LOGISTICA LTDA	6973	20678	80012035	SIM	1	15	0	0	0	302,4	322,4	R$ 15.360,50	JAN	São Paulo	SP	DHS-1880	R$ 200,00	3 QUARTOS
07/01/2025	POUPETEMPO TRANSPORTES	JBS AVES LTDA. (625)	EXPRESSO SAO PAULO LAJEADO LTDA DIRETAO SAO PAULO	7288	20669	80012025	SIM	1	25	0	0	0	503	523	R$ 4.880,23	JAN	Rio Grande do Sul	RS	DHS-1880	R$ 200,00	3 QUARTOS
07/01/2025	POUPETEMPO TRANSPORTES	SEARA ALIMENTOS LTDA (50)	EXPRESSO SAO PAULO LAJEADO LTDA DIRETAO SAO PAULO	7076	20667	80012023	SIM	2	50	0	0	0	1006	1046	R$ 9.760,44	JAN	Rio Grande do Sul	RS	DHS-1880	R$ 200,00	3 QUARTOS
07/01/2025	POUPETEMPO TRANSPORTES	JBS AVES LTDA. (625)	EXPRESSO SAO PAULO LAJEADO LTDA DIRETAO SAO PAULO	7285	20677	80012030	SIM	1	50	0	0	0	1006	1026	R$ 23.375,03	JAN	Rio Grande do Sul	RS	DHS-1880	R$ 200,00	3 QUARTOS
07/01/2025	POUPETEMPO TRANSPORTES	SEARA ALIMENTOS LTDA (1157)	JBS S/A CENTRO DE DISTRIBUICAO	7529	20671	80012031	SIM	3	150	0	0	0	3018	3078	R$ 27.707,10	JAN	Mato Grosso do Sul	MS	CVN-4384	R$ 216,67	TRUCK
07/01/2025	POUPETEMPO TRANSPORTES	SEARA ALIMENTOS LTDA (3205)	JBS S/A CENTRO DE DISTRIBUICAO	7535	20672	80012032	SIM	1	10	0	0	0	201,2	221,2	R$ 2.288,02	JAN	São Paulo	SP	CVN-4384	R$ 216,67	TRUCK
07/01/2025	POUPETEMPO TRANSPORTES	SEARA ALIMENTOS LTDA (1157)	JBS S/A CENTRO DE DISTRIBUICAO	7141	20668	80012024	SIM	3	100	0	0	0	2012	2072	R$ 44.236,62	JAN	Mato Grosso do Sul	MS	CVN-4384	R$ 216,67	TRUCK
07/01/2025	POUPETEMPO TRANSPORTES	SEARA ALIMENTOS LTDA (2584)	JBS S/A CENTRO DE DISTRIBUICAO	7229	20675	80012028	SIM	2	100	0	0	0	2012	2052	R$ 19.520,91	JAN	Rio Grande do Sul	RS	CVN-4384	R$ 216,67	TRUCK
07/01/2025	POUPETEMPO TRANSPORTES	SEARA ALIMENTOS LTDA (475)	JBS S/A CENTRO DE DISTRIBUICAO	7581	20680	80012043	SIM	1	40	0	0	0	805,6	825,6	R$ 14.565,69	JAN	Rio de Janeiro	RJ	CVN-4384	R$ 216,67	TRUCK
07/01/2025	POUPETEMPO TRANSPORTES	SEARA ALIMENTOS LTDA (475)	SEARA ALIMENTOS LTDA	7426	20670	80012026	SIM	2	100	0	0	0	2012	2052	R$ 23.211,12	JAN	Rio de Janeiro	RJ	CVN-4384	R$ 216,67	TRUCK
